,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
281,2015-06-05,Hungary,Lithuania,4,0,Friendly,Debrecen,Hungary,4,4
282,2015-06-05,Hungary,Lithuania,4,0,Friendly,Debrecen,Hungary,4,4
283,2015-06-08,Malta,Lithuania,2,0,Friendly,Attard,Malta,2,2
284,2015-06-08,Malta,Lithuania,2,0,Friendly,Attard,Malta,2,2
285,2015-06-14,Lithuania,Switzerland,1,2,UEFA Euro qualification,Vilnius,Lithuania,3,-1
286,2015-06-14,Lithuania,Switzerland,1,2,UEFA Euro qualification,Vilnius,Lithuania,3,-1
287,2015-09-05,Estonia,Lithuania,1,0,UEFA Euro qualification,Tallinn,Estonia,1,1
288,2015-09-05,Estonia,Lithuania,1,0,UEFA Euro qualification,Tallinn,Estonia,1,1
289,2015-09-08,Lithuania,San Marino,2,1,UEFA Euro qualification,Vilnius,Lithuania,3,1
290,2015-09-08,Lithuania,San Marino,2,1,UEFA Euro qualification,Vilnius,Lithuania,3,1
291,2015-10-09,Slovenia,Lithuania,1,1,UEFA Euro qualification,Ljubljana,Slovenia,2,0
292,2015-10-09,Slovenia,Lithuania,1,1,UEFA Euro qualification,Ljubljana,Slovenia,2,0
293,2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania,3,-3
294,2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania,3,-3
295,2016-03-23,Romania,Lithuania,1,0,Friendly,Giurgiu,Romania,1,1
296,2016-03-23,Romania,Lithuania,1,0,Friendly,Giurgiu,Romania,1,1
297,2016-03-26,Russia,Lithuania,3,0,Friendly,Moscow,Russia,3,3
298,2016-03-26,Russia,Lithuania,3,0,Friendly,Moscow,Russia,3,3
299,2016-05-29,Lithuania,Estonia,2,0,Baltic Cup,Klaipeda,Lithuania,2,2
300,2016-05-29,Lithuania,Estonia,2,0,Baltic Cup,Klaipeda,Lithuania,2,2
301,2016-06-01,Latvia,Lithuania,2,1,Baltic Cup,Liepoja,Latvia,3,1
302,2016-06-01,Latvia,Lithuania,2,1,Baltic Cup,Liepoja,Latvia,3,1
303,2016-06-06,Poland,Lithuania,0,0,Friendly,Cracow,Poland,0,0
304,2016-06-06,Poland,Lithuania,0,0,Friendly,Cracow,Poland,0,0
305,2016-09-04,Lithuania,Slovenia,2,2,FIFA World Cup qualification,Vilnius,Lithuania,4,0
306,2016-09-04,Lithuania,Slovenia,2,2,FIFA World Cup qualification,Vilnius,Lithuania,4,0
307,2016-10-08,Scotland,Lithuania,1,1,FIFA World Cup qualification,Glasgow,Scotland,2,0
308,2016-10-08,Scotland,Lithuania,1,1,FIFA World Cup qualification,Glasgow,Scotland,2,0
309,2016-10-11,Lithuania,Malta,2,0,FIFA World Cup qualification,Vilnius,Lithuania,2,2
310,2016-10-11,Lithuania,Malta,2,0,FIFA World Cup qualification,Vilnius,Lithuania,2,2
311,2016-11-11,Slovakia,Lithuania,4,0,FIFA World Cup qualification,Trnava,Slovakia,4,4
312,2016-11-11,Slovakia,Lithuania,4,0,FIFA World Cup qualification,Trnava,Slovakia,4,4
313,2017-03-22,Czech Republic,Lithuania,3,0,Friendly,�st� nad Labem,Czech Republic,3,3
314,2017-03-22,Czech Republic,Lithuania,3,0,Friendly,�st� nad Labem,Czech Republic,3,3
315,2017-03-26,England,Lithuania,2,0,FIFA World Cup qualification,London,England,2,2
316,2017-03-26,England,Lithuania,2,0,FIFA World Cup qualification,London,England,2,2
317,2017-06-10,Lithuania,Slovakia,1,2,FIFA World Cup qualification,Vilnius,Lithuania,3,-1
318,2017-06-10,Lithuania,Slovakia,1,2,FIFA World Cup qualification,Vilnius,Lithuania,3,-1
319,2017-09-01,Lithuania,Scotland,0,3,FIFA World Cup qualification,Vilnius,Lithuania,3,-3
320,2017-09-01,Lithuania,Scotland,0,3,FIFA World Cup qualification,Vilnius,Lithuania,3,-3
321,2017-09-04,Slovenia,Lithuania,4,0,FIFA World Cup qualification,Ljubljana,Slovenia,4,4
322,2017-09-04,Slovenia,Lithuania,4,0,FIFA World Cup qualification,Ljubljana,Slovenia,4,4
323,2017-10-05,Malta,Lithuania,1,1,FIFA World Cup qualification,Attard,Malta,2,0
324,2017-10-05,Malta,Lithuania,1,1,FIFA World Cup qualification,Attard,Malta,2,0
325,2017-10-08,Lithuania,England,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
326,2017-10-08,Lithuania,England,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
327,2018-03-24,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia,4,4
328,2018-03-24,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia,4,4
329,2018-03-27,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia,1,-1
330,2018-03-27,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia,1,-1
331,2018-05-30,Estonia,Lithuania,2,0,Baltic Cup,Rakvere,Estonia,2,2
332,2018-05-30,Estonia,Lithuania,2,0,Baltic Cup,Rakvere,Estonia,2,2
333,2018-06-05,Lithuania,Latvia,1,1,Friendly,Vilnius,Lithuania,2,0
334,2018-06-05,Lithuania,Latvia,1,1,Friendly,Vilnius,Lithuania,2,0
335,2018-06-08,Lithuania,Iran,0,1,Friendly,Moscow,Russia,1,-1
336,2018-06-08,Lithuania,Iran,0,1,Friendly,Moscow,Russia,1,-1
337,2018-06-12,Poland,Lithuania,4,0,Friendly,Warsaw,Poland,4,4
338,2018-06-12,Poland,Lithuania,4,0,Friendly,Warsaw,Poland,4,4
339,2018-09-07,Lithuania,Serbia,0,1,UEFA Nations League,Vilnius,Lithuania,1,-1
340,2018-09-07,Lithuania,Serbia,0,1,UEFA Nations League,Vilnius,Lithuania,1,-1
341,2018-09-10,Montenegro,Lithuania,2,0,UEFA Nations League,Podgorica,Montenegro,2,2
342,2018-09-10,Montenegro,Lithuania,2,0,UEFA Nations League,Podgorica,Montenegro,2,2
343,2018-10-11,Lithuania,Romania,1,2,UEFA Nations League,Vilnius,Lithuania,3,-1
344,2018-10-11,Lithuania,Romania,1,2,UEFA Nations League,Vilnius,Lithuania,3,-1
345,2018-10-14,Lithuania,Montenegro,1,4,UEFA Nations League,Vilnius,Lithuania,5,-3
346,2018-10-14,Lithuania,Montenegro,1,4,UEFA Nations League,Vilnius,Lithuania,5,-3
347,2018-11-17,Romania,Lithuania,3,0,UEFA Nations League,Ploie?ti,Romania,3,3
348,2018-11-17,Romania,Lithuania,3,0,UEFA Nations League,Ploie?ti,Romania,3,3
349,2018-11-20,Serbia,Lithuania,4,1,UEFA Nations League,Belgrade,Serbia,5,3
350,2018-11-20,Serbia,Lithuania,4,1,UEFA Nations League,Belgrade,Serbia,5,3
351,2019-03-22,Luxembourg,Lithuania,2,1,UEFA Euro qualification,Luxembourg City,Luxembourg,3,1
352,2019-03-22,Luxembourg,Lithuania,2,1,UEFA Euro qualification,Luxembourg City,Luxembourg,3,1
353,2019-03-25,Azerbaijan,Lithuania,0,0,Friendly,Baku,Azerbaijan,0,0
354,2019-03-25,Azerbaijan,Lithuania,0,0,Friendly,Baku,Azerbaijan,0,0
355,2019-06-07,Lithuania,Luxembourg,1,1,UEFA Euro qualification,Vilnius,Lithuania,2,0
356,2019-06-07,Lithuania,Luxembourg,1,1,UEFA Euro qualification,Vilnius,Lithuania,2,0
357,2019-06-10,Serbia,Lithuania,4,1,UEFA Euro qualification,Belgrade,Serbia,5,3
358,2019-06-10,Serbia,Lithuania,4,1,UEFA Euro qualification,Belgrade,Serbia,5,3
359,2019-09-07,Lithuania,Ukraine,0,3,UEFA Euro qualification,Vilnius,Lithuania,3,-3
360,2019-09-07,Lithuania,Ukraine,0,3,UEFA Euro qualification,Vilnius,Lithuania,3,-3
361,2019-09-10,Lithuania,Portugal,1,5,UEFA Euro qualification,Vilnius,Lithuania,6,-4
362,2019-09-10,Lithuania,Portugal,1,5,UEFA Euro qualification,Vilnius,Lithuania,6,-4
363,2019-10-11,Ukraine,Lithuania,2,0,UEFA Euro qualification,Kharkiv,Ukraine,2,2
364,2019-10-11,Ukraine,Lithuania,2,0,UEFA Euro qualification,Kharkiv,Ukraine,2,2
365,2019-10-14,Lithuania,Serbia,1,2,UEFA Euro qualification,Vilnius,Lithuania,3,-1
366,2019-10-14,Lithuania,Serbia,1,2,UEFA Euro qualification,Vilnius,Lithuania,3,-1
