,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
75,1997-09-06,Lithuania,North Macedonia,2,0,FIFA World Cup qualification,Vilnius,Lithuania,2,2
76,1997-09-10,Lithuania,Republic of Ireland,1,2,FIFA World Cup qualification,Vilnius,Lithuania,3,-1
77,1997-09-24,Poland,Lithuania,2,0,Friendly,Olsztyn,Poland,2,2
78,1997-10-11,North Macedonia,Lithuania,1,2,FIFA World Cup qualification,Skopje,North Macedonia,3,-1
79,1998-04-21,Latvia,Lithuania,1,2,Baltic Cup,Liepoja,Latvia,3,-1
80,1998-04-29,Chile,Lithuania,1,0,Friendly,Santiago,Chile,1,1
81,1998-05-27,Hungary,Lithuania,1,0,Friendly,Ny�regyh�za,Hungary,1,1
82,1998-06-07,Belarus,Lithuania,5,0,Friendly,Minsk,Belarus,5,5
83,1998-06-26,Azerbaijan,Lithuania,2,1,Friendly,Viljandi,Estonia,3,1
84,1998-06-28,Estonia,Lithuania,0,0,Baltic Cup,Viljandi,Estonia,0,0
85,1998-06-29,Lithuania,Andorra,4,0,Friendly,Karksi-Nuia,Estonia,4,4
86,1998-08-16,Lithuania,Moldova,1,1,Friendly,Kaunas,Lithuania,2,0
87,1998-08-19,Lithuania,Belarus,0,3,Friendly,Vilnius,Lithuania,3,-3
88,1998-09-05,Lithuania,Scotland,0,0,UEFA Euro qualification,Vilnius,Lithuania,0,0
89,1998-10-10,Lithuania,Faroe Islands,0,0,UEFA Euro qualification,Vilnius,Lithuania,0,0
90,1998-10-14,Lithuania,Bosnia and Herzegovina,4,2,UEFA Euro qualification,Vilnius,Lithuania,6,2
91,1999-03-27,Czech Republic,Lithuania,2,0,UEFA Euro qualification,Teplice,Czech Republic,2,2
92,1999-03-31,Lithuania,Estonia,1,2,UEFA Euro qualification,Vilnius,Lithuania,3,-1
93,1999-06-05,Bosnia and Herzegovina,Lithuania,2,0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,2,2
94,1999-06-09,Estonia,Lithuania,1,2,UEFA Euro qualification,Tallinn,Estonia,3,-1
95,1999-06-26,Argentina,Lithuania,0,0,Friendly,Buenos Aires,Argentina,0,0
96,1999-07-02,Lithuania,Indonesia,2,2,Friendly,Valga,Estonia,4,0
97,1999-08-18,Norway,Lithuania,1,0,Friendly,Oslo,Norway,1,1
98,1999-09-04,Lithuania,Czech Republic,0,4,UEFA Euro qualification,Vilnius,Lithuania,4,-4
99,1999-09-08,Faroe Islands,Lithuania,0,1,UEFA Euro qualification,T�rshavn,Faroe Islands,1,-1
100,1999-10-09,Scotland,Lithuania,3,0,UEFA Euro qualification,Glasgow,Scotland,3,3
101,2000-02-02,Cyprus,Lithuania,2,1,Cyprus International Tournament,Limassol,Cyprus,3,1
102,2000-02-04,Moldova,Lithuania,2,1,Cyprus International Tournament,Larnaca,Cyprus,3,1
103,2000-02-06,Latvia,Lithuania,1,2,Cyprus International Tournament,Larnaca,Cyprus,3,-1
104,2000-04-26,Lithuania,Latvia,2,1,Baltic Cup,Kaunas,Lithuania,3,1
105,2000-08-16,Portugal,Lithuania,5,1,Friendly,Viseu,Portugal,6,4
106,2000-09-03,Romania,Lithuania,1,0,FIFA World Cup qualification,Bucharest,Romania,1,1
107,2000-10-07,Lithuania,Georgia,0,4,FIFA World Cup qualification,Kaunas,Lithuania,4,-4
108,2000-10-11,Lithuania,Hungary,1,6,FIFA World Cup qualification,Kaunas,Lithuania,7,-5
109,2000-12-22,Catalonia,Lithuania,5,0,Friendly,Barcelona,Spain,5,5
110,2001-02-26,Cyprus,Lithuania,1,2,Cyprus International Tournament,Limassol,Cyprus,3,-1
111,2001-02-28,Lithuania,Romania,0,3,Cyprus International Tournament,Nicosia,Cyprus,3,-3
112,2001-03-24,Hungary,Lithuania,1,1,FIFA World Cup qualification,Budapest,Hungary,2,0
113,2001-03-28,Italy,Lithuania,4,0,FIFA World Cup qualification,Trieste,Italy,4,4
114,2001-06-06,Lithuania,Romania,1,2,FIFA World Cup qualification,Kaunas,Lithuania,3,-1
115,2001-07-04,Estonia,Lithuania,2,5,Baltic Cup,Riga,Latvia,7,-3
116,2001-07-05,Latvia,Lithuania,4,1,Baltic Cup,Riga,Latvia,5,3
117,2001-08-15,Lithuania,Israel,2,3,Friendly,Kaunas,Lithuania,5,-1
118,2001-09-01,Lithuania,Italy,0,0,FIFA World Cup qualification,Kaunas,Lithuania,0,0
119,2001-09-05,Georgia,Lithuania,2,0,FIFA World Cup qualification,Tbilisi,Georgia,2,2
120,2002-02-09,Lithuania,Moldova,1,0,Malta International Tournament,Attard,Malta,1,1
